FPR	TPR	THR
0.000000	0.000000	inf
0.000000	0.000569	2.117188
0.000000	0.002844	2.109375
0.000000	0.004551	2.107422
0.000000	0.005119	2.105469
0.000000	0.006257	2.103516
0.000000	0.011377	2.097656
0.000000	0.015358	2.095703
0.000000	0.018771	2.093750
0.000000	0.021047	2.091797
0.000000	0.022184	2.089844
0.000000	0.023322	2.085938
0.000000	0.025597	2.083984
0.000000	0.026166	2.082031
0.000000	0.027304	2.080078
0.000000	0.027873	2.078125
0.000000	0.031286	2.074219
0.000000	0.033561	2.072266
0.000000	0.035267	2.068359
0.000000	0.036405	2.066406
0.000000	0.038111	2.064453
0.000000	0.039249	2.058594
0.000000	0.042662	2.052734
0.000000	0.044937	2.050781
0.000000	0.045506	2.048828
0.000000	0.047213	2.046875
0.000000	0.048350	2.044922
0.000000	0.050057	2.039062
0.000000	0.050626	2.037109
0.000647	0.050626	2.031250
0.000647	0.051195	2.029297
0.000647	0.052332	2.025391
0.000647	0.053470	2.021484
0.000647	0.054608	2.017578
0.001294	0.055745	2.015625
0.001294	0.056883	2.009766
0.001294	0.058020	2.005859
0.001294	0.059727	2.003906
0.001294	0.062571	1.992188
0.001294	0.063709	1.990234
0.001294	0.068828	1.933594
0.001294	0.069966	1.930664
0.001294	0.070535	1.924805
0.001294	0.071672	1.923828
0.001294	0.075085	1.883789
0.001294	0.076223	1.872070
0.001294	0.079636	1.824219
0.001294	0.080774	1.817383
0.001294	0.081342	1.815430
0.001294	0.082480	1.803711
0.001294	0.084755	1.778320
0.001294	0.087031	1.774414
0.001294	0.091581	1.719727
0.001942	0.091581	1.708008
0.001942	0.094425	1.679688
0.002589	0.094425	1.675781
0.002589	0.096701	1.662109
0.003236	0.096701	1.657227
0.003236	0.099545	1.621094
0.003236	0.101820	1.613281
0.003236	0.102389	1.589844
0.003236	0.103527	1.579102
0.003236	0.111490	1.511719
0.003236	0.112628	1.508789
0.003236	0.113766	1.497070
0.003883	0.113766	1.496094
0.003883	0.114903	1.490234
0.003883	0.116610	1.489258
0.003883	0.117179	1.485352
0.003883	0.118316	1.479492
0.003883	0.120023	1.469727
0.003883	0.121729	1.461914
0.003883	0.122298	1.454102
0.004531	0.122867	1.451172
0.004531	0.123436	1.442383
0.004531	0.125142	1.437500
0.005178	0.125142	1.436523
0.005178	0.130262	1.397461
0.005825	0.130262	1.392578
0.005825	0.135950	1.342773
0.006472	0.135950	1.338867
0.006472	0.150739	1.269531
0.006472	0.151877	1.262695
0.006472	0.154152	1.251953
0.006472	0.155290	1.250000
0.006472	0.156428	1.245117
0.007120	0.156997	1.243164
0.007120	0.158703	1.230469
0.007120	0.159841	1.227539
0.007120	0.163823	1.211914
0.007767	0.164391	1.209961
0.008414	0.164391	1.207031
0.008414	0.166098	1.201172
0.008414	0.167235	1.191406
0.008414	0.168373	1.189453
0.008414	0.170080	1.188477
0.008414	0.170648	1.185547
0.009061	0.170648	1.184570
0.009061	0.171786	1.178711
0.009709	0.171786	1.177734
0.009709	0.172924	1.176758
0.009709	0.173493	1.174805
0.009709	0.174630	1.172852
0.009709	0.175199	1.170898
0.010356	0.176906	1.168945
0.010356	0.178612	1.164062
0.010356	0.179750	1.163086
0.011003	0.180319	1.162109
0.011003	0.180887	1.160156
0.011003	0.182025	1.158203
0.011003	0.183163	1.153320
0.011650	0.183732	1.152344
0.011650	0.186007	1.148438
0.011650	0.186576	1.147461
0.011650	0.187713	1.145508
0.011650	0.189420	1.144531
0.011650	0.189989	1.142578
0.012298	0.190557	1.141602
0.012298	0.191695	1.139648
0.012298	0.192264	1.137695
0.012945	0.192264	1.135742
0.012945	0.192833	1.134766
0.013592	0.193402	1.133789
0.014239	0.193402	1.131836
0.014239	0.193970	1.127930
0.014887	0.193970	1.126953
0.014887	0.194539	1.124023
0.014887	0.196246	1.123047
0.014887	0.196815	1.121094
0.015534	0.197952	1.118164
0.015534	0.199090	1.114258
0.015534	0.200228	1.113281
0.015534	0.203072	1.107422
0.016181	0.203072	1.106445
0.016181	0.205916	1.105469
0.016181	0.207053	1.100586
0.016828	0.207053	1.098633
0.016828	0.207622	1.094727
0.016828	0.208760	1.091797
0.016828	0.212742	1.083008
0.017476	0.213311	1.081055
0.017476	0.214448	1.080078
0.017476	0.215017	1.079102
0.017476	0.216155	1.078125
0.017476	0.216724	1.077148
0.017476	0.217861	1.076172
0.017476	0.218430	1.069336
0.017476	0.219568	1.068359
0.017476	0.220137	1.065430
0.017476	0.221274	1.063477
0.017476	0.221843	1.059570
0.017476	0.222981	1.058594
0.017476	0.224118	1.054688
0.018123	0.224687	1.053711
0.018123	0.225256	1.052734
0.018770	0.225825	1.051758
0.018770	0.229238	1.047852
0.018770	0.230375	1.046875
0.018770	0.231513	1.044922
0.018770	0.233220	1.042969
0.018770	0.233788	1.041992
0.019417	0.234926	1.041016
0.019417	0.235495	1.040039
0.019417	0.236633	1.039062
0.019417	0.240046	1.037109
0.020712	0.241183	1.034180
0.020712	0.241752	1.033203
0.021359	0.242321	1.031250
0.021359	0.244027	1.027344
0.021359	0.245165	1.026367
0.021359	0.245734	1.024414
0.022006	0.245734	1.022461
0.022006	0.246303	1.021484
0.022006	0.248009	1.020508
0.022006	0.249147	1.019531
0.022006	0.249716	1.018555
0.022006	0.250853	1.016602
0.022654	0.250853	1.015625
0.022654	0.251991	1.013672
0.024595	0.251991	1.012695
0.024595	0.252560	1.008789
0.024595	0.254835	1.006836
0.025890	0.255973	1.004883
0.025890	0.259386	1.001953
0.025890	0.261092	0.995605
0.026537	0.262799	0.994629
0.026537	0.263936	0.992676
0.026537	0.265074	0.991211
0.026537	0.265643	0.990723
0.026537	0.267349	0.989258
0.026537	0.269056	0.985840
0.026537	0.270762	0.985352
0.027184	0.271331	0.984863
0.027184	0.273606	0.982910
0.027184	0.274744	0.981445
0.027184	0.276451	0.980957
0.027184	0.277019	0.980469
0.027184	0.278726	0.979980
0.027184	0.279863	0.977539
0.027184	0.281570	0.977051
0.027184	0.282708	0.974121
0.027832	0.283276	0.972656
0.027832	0.284414	0.972168
0.027832	0.286121	0.970703
0.027832	0.287258	0.970215
0.028479	0.287827	0.969727
0.028479	0.289534	0.966797
0.028479	0.291809	0.963867
0.028479	0.292378	0.962891
0.028479	0.293515	0.961914
0.029126	0.293515	0.961426
0.029126	0.294653	0.958984
0.029126	0.295791	0.958496
0.029126	0.298066	0.955078
0.030421	0.298066	0.953125
0.030421	0.299204	0.952148
0.030421	0.300341	0.951660
0.031068	0.300341	0.950195
0.031068	0.302048	0.948730
0.031068	0.303185	0.947266
0.031068	0.303754	0.945801
0.031068	0.306030	0.941895
0.031068	0.307736	0.937988
0.031715	0.307736	0.937500
0.031715	0.310011	0.932617
0.031715	0.311149	0.931641
0.031715	0.311718	0.930664
0.031715	0.312856	0.930176
0.031715	0.313424	0.929688
0.032362	0.313993	0.928223
0.032362	0.315131	0.927246
0.032362	0.315700	0.926758
0.033010	0.315700	0.925781
0.033010	0.316837	0.923340
0.033010	0.317406	0.922852
0.033657	0.317975	0.922363
0.033657	0.318544	0.920898
0.033657	0.319681	0.920410
0.033657	0.320250	0.918945
0.034951	0.320250	0.916504
0.034951	0.320819	0.915527
0.035599	0.320819	0.915039
0.035599	0.321957	0.914062
0.036246	0.322526	0.913574
0.036893	0.322526	0.912598
0.036893	0.323094	0.912109
0.037540	0.324232	0.911621
0.037540	0.325939	0.909668
0.038188	0.325939	0.909180
0.038188	0.327076	0.908203
0.038835	0.327076	0.907715
0.038835	0.328214	0.906250
0.039482	0.328214	0.904297
0.039482	0.331058	0.900879
0.039482	0.333333	0.898926
0.039482	0.333902	0.898438
0.039482	0.335040	0.897461
0.039482	0.335609	0.896973
0.039482	0.336746	0.895996
0.039482	0.337315	0.894531
0.039482	0.339590	0.893555
0.039482	0.342435	0.890137
0.040129	0.343572	0.886719
0.040777	0.344141	0.885742
0.041424	0.344141	0.883789
0.041424	0.344710	0.882812
0.042071	0.344710	0.881836
0.042071	0.345848	0.879395
0.042071	0.346985	0.877441
0.042071	0.348123	0.875488
0.042718	0.348692	0.875000
0.042718	0.349829	0.874512
0.043366	0.350967	0.874023
0.043366	0.352673	0.873535
0.043366	0.353811	0.872559
0.043366	0.354949	0.871582
0.044660	0.356086	0.870117
0.045955	0.356086	0.869629
0.045955	0.357224	0.868164
0.047249	0.357224	0.865723
0.047249	0.358362	0.864258
0.047249	0.359499	0.863281
0.047249	0.360068	0.862305
0.047249	0.361206	0.861816
0.047249	0.362344	0.859375
0.047896	0.362344	0.858887
0.047896	0.364050	0.858398
0.047896	0.364619	0.857910
0.048544	0.364619	0.857422
0.048544	0.365757	0.856445
0.048544	0.366894	0.855957
0.048544	0.367463	0.854980
0.049191	0.367463	0.854492
0.049191	0.368601	0.852051
0.049191	0.369738	0.851562
0.049838	0.369738	0.851074
0.049838	0.372014	0.848145
0.051133	0.372014	0.845703
0.051133	0.372582	0.845215
0.051780	0.373151	0.844727
0.051780	0.373720	0.842773
0.052427	0.375427	0.840820
0.052427	0.377133	0.840332
0.052427	0.377702	0.839355
0.053074	0.377702	0.838379
0.053074	0.379408	0.834961
0.053074	0.381115	0.833496
0.054369	0.381115	0.832520
0.055663	0.381684	0.832031
0.056311	0.381684	0.831543
0.056958	0.382821	0.829590
0.056958	0.383959	0.829102
0.056958	0.385097	0.827637
0.057605	0.385097	0.827148
0.057605	0.386234	0.826660
0.058252	0.386234	0.825684
0.058252	0.386803	0.824707
0.058252	0.390216	0.823242
0.058252	0.391923	0.821289
0.058252	0.393060	0.820312
0.058252	0.394198	0.817383
0.058252	0.395904	0.816895
0.058252	0.397042	0.816406
0.058252	0.398180	0.815430
0.058252	0.399886	0.813965
0.058252	0.401593	0.811523
0.058900	0.402730	0.811035
0.059547	0.402730	0.810547
0.059547	0.403299	0.810059
0.060194	0.403299	0.809082
0.060194	0.403868	0.808105
0.060194	0.405006	0.807617
0.060194	0.406143	0.806641
0.060194	0.408419	0.805176
0.060194	0.409556	0.803711
0.060841	0.410694	0.802734
0.060841	0.411263	0.802246
0.060841	0.413538	0.799805
0.060841	0.414107	0.798828
0.060841	0.415813	0.798340
0.060841	0.416382	0.797852
0.061489	0.416382	0.797363
0.061489	0.418089	0.796387
0.061489	0.419226	0.794922
0.061489	0.420364	0.791992
0.061489	0.420933	0.790527
0.062136	0.422071	0.789551
0.062136	0.422639	0.788574
0.062136	0.423777	0.786621
0.062136	0.426052	0.784180
0.062783	0.426621	0.783203
0.062783	0.427759	0.780273
0.063430	0.428328	0.778809
0.064078	0.428328	0.777832
0.064078	0.428896	0.777344
0.064725	0.428896	0.776855
0.064725	0.430034	0.776367
0.065372	0.431172	0.775879
0.065372	0.432309	0.773438
0.066019	0.432309	0.771973
0.066019	0.432878	0.771484
0.066667	0.433447	0.770996
0.066667	0.436291	0.767090
0.066667	0.437429	0.766113
0.066667	0.440273	0.762695
0.067314	0.440842	0.761719
0.067314	0.442548	0.760254
0.067314	0.443686	0.759766
0.067314	0.445392	0.756836
0.067314	0.446530	0.756348
0.067314	0.448237	0.754883
0.067314	0.449374	0.754395
0.067314	0.450512	0.752930
0.067314	0.452787	0.751465
0.067961	0.453356	0.749023
0.067961	0.454494	0.748535
0.068608	0.454494	0.748047
0.068608	0.455063	0.747559
0.069903	0.455631	0.746582
0.069903	0.456769	0.746094
0.069903	0.457338	0.745117
0.070550	0.457338	0.744629
0.070550	0.460182	0.738770
0.071197	0.460751	0.736328
0.071845	0.460751	0.735840
0.071845	0.463595	0.735352
0.072492	0.463595	0.733887
0.072492	0.464733	0.732422
0.072492	0.466439	0.731934
0.072492	0.467008	0.731445
0.073139	0.467008	0.729980
0.073139	0.468146	0.729004
0.073786	0.469283	0.728516
0.073786	0.469852	0.727539
0.074434	0.470421	0.727051
0.075728	0.470421	0.723145
0.075728	0.470990	0.722168
0.076375	0.470990	0.721680
0.076375	0.471559	0.720215
0.077023	0.472127	0.719727
0.077670	0.472127	0.719238
0.077670	0.473265	0.718262
0.077670	0.474403	0.717285
0.077670	0.475540	0.715820
0.077670	0.476678	0.715332
0.077670	0.479522	0.711426
0.078317	0.479522	0.710449
0.078964	0.480091	0.709473
0.078964	0.481229	0.708984
0.078964	0.482366	0.708008
0.079612	0.482935	0.707520
0.079612	0.485210	0.702148
0.079612	0.486348	0.701660
0.080259	0.486917	0.700195
0.080259	0.488623	0.699707
0.080259	0.489761	0.699219
0.080259	0.490330	0.698730
0.081553	0.491468	0.697266
0.082201	0.491468	0.696289
0.082201	0.492036	0.694824
0.083495	0.493174	0.692383
0.084142	0.493174	0.691406
0.084142	0.494881	0.687500
0.084142	0.496018	0.686523
0.084142	0.496587	0.686035
0.085437	0.496587	0.683594
0.086084	0.496587	0.682617
0.086084	0.497156	0.682129
0.086084	0.498294	0.681641
0.086084	0.498862	0.681152
0.086084	0.500000	0.680664
0.086731	0.501138	0.679688
0.086731	0.502844	0.677734
0.087379	0.502844	0.677246
0.087379	0.503413	0.676758
0.087379	0.505119	0.676270
0.087379	0.506257	0.674316
0.087379	0.507395	0.672852
0.087379	0.509670	0.672363
0.087379	0.510239	0.671875
0.088026	0.510808	0.671387
0.088026	0.512514	0.669434
0.088673	0.512514	0.668945
0.088673	0.513652	0.666504
0.089320	0.514221	0.666016
0.089320	0.515358	0.665039
0.090615	0.515358	0.664062
0.090615	0.516496	0.663086
0.091262	0.516496	0.662109
0.091262	0.518203	0.661621
0.091262	0.518771	0.661133
0.092557	0.518771	0.659668
0.092557	0.519909	0.659180
0.092557	0.523322	0.656250
0.092557	0.524460	0.655273
0.092557	0.525597	0.654297
0.092557	0.527304	0.653809
0.092557	0.527873	0.650391
0.094498	0.529579	0.647461
0.094498	0.530717	0.646973
0.094498	0.531286	0.645996
0.094498	0.532992	0.645508
0.095146	0.533561	0.645020
0.095146	0.534130	0.644531
0.096440	0.534130	0.644043
0.096440	0.535836	0.643555
0.096440	0.536974	0.641602
0.096440	0.539249	0.641113
0.097087	0.539818	0.640625
0.097087	0.543231	0.636230
0.097735	0.543231	0.635254
0.097735	0.545506	0.634277
0.098382	0.546644	0.633789
