FPR	TPR	THR
0.000000	0.000000	-1.870117
0.000000	0.000683	-1.769531
0.000000	0.015700	-1.740234
0.000000	0.018430	-1.738281
0.000820	0.018430	-1.734375
0.000820	0.019795	-1.733398
0.000820	0.023208	-1.721680
0.000820	0.024573	-1.715820
0.000820	0.038225	-1.708008
0.000820	0.039590	-1.705078
0.000820	0.040273	-1.701172
0.000820	0.041638	-1.689453
0.000820	0.042321	-1.686523
0.000820	0.043686	-1.685547
0.001641	0.043686	-1.678711
0.001641	0.045051	-1.676758
0.001641	0.046416	-1.670898
0.001641	0.047782	-1.667969
0.001641	0.048464	-1.659180
0.002461	0.048464	-1.652344
0.002461	0.050512	-1.647461
0.002461	0.051877	-1.645508
0.002461	0.054608	-1.637695
0.002461	0.055973	-1.636719
0.002461	0.058020	-1.630859
0.002461	0.059386	-1.626953
0.002461	0.060068	-1.625000
0.003281	0.060751	-1.622070
0.003281	0.062799	-1.621094
0.003281	0.063481	-1.620117
0.004102	0.064164	-1.617188
0.004102	0.065529	-1.611328
0.004102	0.066894	-1.604492
0.004102	0.068942	-1.601562
0.004102	0.070307	-1.600586
0.004922	0.070307	-1.599609
0.004922	0.072355	-1.591797
0.006563	0.072355	-1.589844
0.006563	0.073038	-1.587891
0.006563	0.074403	-1.586914
0.007383	0.074403	-1.585938
0.007383	0.075768	-1.581055
0.008203	0.076451	-1.579102
0.008203	0.077133	-1.575195
0.008203	0.079863	-1.560547
0.008203	0.080546	-1.557617
0.008203	0.081911	-1.549805
0.008203	0.082594	-1.548828
0.009024	0.083276	-1.545898
0.009024	0.084642	-1.544922
0.009844	0.085324	-1.542969
0.009844	0.087372	-1.540039
0.010664	0.087372	-1.539062
0.010664	0.088055	-1.537109
0.010664	0.089420	-1.536133
0.010664	0.090102	-1.534180
0.011485	0.090785	-1.532227
0.011485	0.092833	-1.523438
0.011485	0.094198	-1.520508
0.011485	0.096928	-1.517578
0.011485	0.098976	-1.513672
0.011485	0.099659	-1.512695
0.011485	0.102389	-1.511719
0.012305	0.105119	-1.510742
0.012305	0.107850	-1.506836
0.012305	0.109215	-1.503906
0.012305	0.110580	-1.502930
0.012305	0.114676	-1.501953
0.012305	0.116041	-1.497070
0.012305	0.116724	-1.496094
0.012305	0.118771	-1.494141
0.012305	0.120137	-1.493164
0.013126	0.120137	-1.492188
0.013126	0.121502	-1.487305
0.013946	0.121502	-1.482422
0.013946	0.123549	-1.479492
0.013946	0.124915	-1.478516
0.013946	0.126962	-1.470703
0.013946	0.128328	-1.466797
0.013946	0.130375	-1.463867
0.013946	0.131741	-1.461914
0.013946	0.133106	-1.458984
0.014766	0.133788	-1.454102
0.014766	0.135154	-1.449219
0.014766	0.135836	-1.446289
0.015587	0.136519	-1.444336
0.016407	0.137884	-1.443359
0.016407	0.138567	-1.442383
0.016407	0.140614	-1.441406
0.016407	0.141297	-1.439453
0.016407	0.142662	-1.434570
0.016407	0.144027	-1.433594
0.017227	0.144710	-1.432617
0.018048	0.146758	-1.431641
0.018048	0.148805	-1.427734
0.018048	0.151536	-1.417969
0.018048	0.153584	-1.413086
0.018048	0.154266	-1.411133
0.018048	0.156314	-1.410156
0.018048	0.156997	-1.408203
0.018868	0.159044	-1.406250
0.018868	0.164505	-1.396484
0.018868	0.165870	-1.392578
0.018868	0.167235	-1.391602
0.018868	0.168601	-1.390625
0.019688	0.168601	-1.384766
0.019688	0.169966	-1.381836
0.020509	0.171331	-1.380859
0.021329	0.172014	-1.379883
0.021329	0.172696	-1.375977
0.021329	0.174061	-1.375000
0.021329	0.177474	-1.374023
0.021329	0.179522	-1.373047
0.021329	0.180887	-1.372070
0.021329	0.182253	-1.369141
0.021329	0.182935	-1.367188
0.022149	0.184300	-1.365234
0.022149	0.185666	-1.360352
0.022970	0.187031	-1.358398
0.022970	0.188396	-1.352539
0.022970	0.189761	-1.350586
0.023790	0.190444	-1.349609
0.023790	0.193174	-1.346680
0.024610	0.193857	-1.345703
0.024610	0.195222	-1.343750
0.025431	0.195222	-1.342773
0.025431	0.197952	-1.340820
0.025431	0.199317	-1.334961
0.026251	0.199317	-1.333984
0.027071	0.200000	-1.328125
0.027071	0.201365	-1.327148
0.027071	0.202730	-1.326172
0.027071	0.204778	-1.325195
0.027071	0.206826	-1.324219
0.028712	0.207509	-1.320312
0.028712	0.209556	-1.317383
0.028712	0.212287	-1.316406
0.029532	0.213652	-1.315430
0.030353	0.214334	-1.314453
0.030353	0.216382	-1.311523
0.030353	0.217747	-1.310547
0.030353	0.218430	-1.309570
0.031173	0.219113	-1.304688
0.031173	0.220478	-1.302734
0.031173	0.223208	-1.300781
0.031173	0.225939	-1.298828
0.031173	0.227986	-1.297852
0.031173	0.228669	-1.296875
0.031173	0.230034	-1.291992
0.031173	0.230717	-1.290039
0.031173	0.232082	-1.288086
0.031173	0.232765	-1.287109
0.031173	0.234130	-1.286133
0.031993	0.234130	-1.282227
0.031993	0.236177	-1.279297
0.031993	0.237543	-1.276367
0.031993	0.239590	-1.272461
0.031993	0.241638	-1.271484
0.032814	0.242321	-1.270508
0.033634	0.244369	-1.269531
0.033634	0.247099	-1.267578
0.033634	0.248464	-1.265625
0.033634	0.250512	-1.262695
0.033634	0.251877	-1.258789
0.033634	0.252560	-1.257812
0.033634	0.253925	-1.255859
0.034454	0.255973	-1.254883
0.034454	0.258703	-1.253906
0.034454	0.260068	-1.251953
0.034454	0.262799	-1.250977
0.034454	0.264164	-1.248047
0.035275	0.264846	-1.242188
0.035275	0.266894	-1.239258
0.035275	0.268259	-1.238281
0.035275	0.272355	-1.237305
0.036916	0.272355	-1.235352
0.036916	0.273720	-1.234375
