FPR	TPR	THR
0.000000	0.000000	-2.126799
0.000000	0.000702	-2.126213
0.000000	0.025263	-2.116209
0.001589	0.025263	-2.099584
0.001589	0.042807	-2.097901
0.002383	0.042807	-2.097075
0.002383	0.065965	-2.096814
0.003177	0.065965	-2.094960
0.003177	0.112281	-2.094949
0.003971	0.112281	-2.094886
0.003971	0.129123	-2.094852
0.003971	0.130526	-2.094807
0.003971	0.136140	-2.094758
0.004766	0.136842	-2.094728
0.004766	0.141754	-2.094716
0.004766	0.144561	-2.094707
0.004766	0.145263	-2.094688
0.004766	0.146667	-2.094671
0.005560	0.146667	-2.094665
0.005560	0.147368	-2.094664
0.005560	0.148772	-2.094662
0.005560	0.150175	-2.094654
0.005560	0.152982	-2.094653
0.005560	0.157193	-2.094650
0.005560	0.161404	-2.094648
0.009531	0.219649	-2.094648
0.010326	0.230877	-2.094643
0.011914	0.242105	-2.094641
0.011914	0.243509	-2.094641
0.011914	0.245614	-2.094640
0.011914	0.247018	-2.094639
0.012708	0.248421	-2.094639
0.012708	0.251228	-2.094638
0.012708	0.253333	-2.094638
0.012708	0.254737	-2.094637
0.012708	0.256842	-2.094637
0.012708	0.257544	-2.094636
0.014297	0.258947	-2.094636
0.014297	0.260351	-2.094635
0.014297	0.261754	-2.094634
0.014297	0.264561	-2.094634
0.014297	0.265965	-2.094634
0.014297	0.269474	-2.094634
0.015091	0.269474	-2.094633
0.015091	0.272281	-2.094633
0.015886	0.272281	-2.094633
0.015886	0.272982	-2.094632
0.016680	0.272982	-2.094632
0.016680	0.274386	-2.094632
0.016680	0.278596	-2.094632
0.016680	0.280000	-2.094631
0.016680	0.284912	-2.094631
0.016680	0.286316	-2.094631
0.016680	0.308070	-2.094630
0.017474	0.308070	-2.094630
0.017474	0.347368	-2.094630
0.018268	0.347368	-2.094630
0.018268	0.355789	-2.094629
0.019063	0.355789	-2.094629
0.019063	0.377544	-2.094628
0.019857	0.377544	-2.094628
0.019857	0.408421	-2.094627
0.020651	0.408421	-2.094625
0.020651	0.416140	-2.094624
0.021446	0.416140	-2.094623
0.021446	0.418246	-2.094623
0.022240	0.418246	-2.094621
0.022240	0.419649	-2.094620
0.023034	0.419649	-2.094619
0.023034	0.423860	-2.094619
0.024623	0.423860	-2.094610
0.024623	0.428772	-2.094604
0.025417	0.428772	-2.094603
0.025417	0.430877	-2.094601
0.026211	0.430877	-2.094592
0.026211	0.433684	-2.094582
0.027006	0.433684	-2.094576
0.027006	0.440702	-2.094575
0.027800	0.440702	-2.094571
0.027800	0.441404	-2.094568
