FPR	TPR	THR
0.000000	0.000000	-4.415852
0.000000	0.000728	-4.408195
0.000000	0.004367	-4.407670
0.000765	0.004367	-4.406981
0.000765	0.021834	-4.402872
0.001530	0.021834	-4.400865
0.001530	0.026201	-4.400257
0.002295	0.026201	-4.398734
0.002295	0.032023	-4.398522
0.003060	0.032023	-4.397942
0.003060	0.044396	-4.395975
0.003826	0.044396	-4.394134
0.003826	0.045852	-4.393970
0.004591	0.045852	-4.393697
0.004591	0.047307	-4.393634
0.005356	0.047307	-4.392509
0.005356	0.058952	-4.391676
0.006121	0.058952	-4.391480
0.006121	0.064047	-4.391287
0.006886	0.064047	-4.391023
0.006886	0.096798	-4.390846
0.007651	0.096798	-4.390379
0.007651	0.101164	-4.390344
0.008416	0.101164	-4.389222
0.008416	0.101892	-4.389038
0.009181	0.101892	-4.388566
0.009181	0.116448	-4.388333
0.009946	0.116448	-4.388255
0.009946	0.118632	-4.388216
0.011477	0.118632	-4.388130
0.011477	0.122271	-4.387490
0.012242	0.122271	-4.385714
0.012242	0.126638	-4.385511
0.013007	0.126638	-4.383907
0.013007	0.128821	-4.383512
0.013772	0.128821	-4.383208
0.013772	0.145560	-4.382936
0.015302	0.145560	-4.382157
0.015302	0.175400	-4.381895
0.016067	0.175400	-4.381176
0.016067	0.187045	-4.380820
0.016832	0.187045	-4.380471
0.016832	0.189229	-4.379328
0.018363	0.189229	-4.379009
0.018363	0.200146	-4.378666
0.019128	0.200146	-4.378141
0.019128	0.200873	-4.378098
0.019893	0.200873	-4.376535
0.019893	0.219796	-4.376211
0.020658	0.219796	-4.376154
0.020658	0.221980	-4.376015
0.021423	0.221980	-4.375655
0.021423	0.232897	-4.375648
0.022188	0.232897	-4.375473
0.022188	0.235080	-4.375461
0.022953	0.235080	-4.375124
0.022953	0.245997	-4.374832
0.023718	0.245997	-4.374619
0.023718	0.256186	-4.374220
0.024484	0.256186	-4.373098
0.024484	0.268559	-4.372465
0.025249	0.268559	-4.372413
0.025249	0.271470	-4.372343
0.026014	0.271470	-4.371917
0.026014	0.281659	-4.371861
0.026779	0.281659	-4.371514
0.026779	0.307860	-4.371454
0.027544	0.307860	-4.370934
0.027544	0.310044	-4.370918
0.028309	0.310044	-4.370722
0.028309	0.325328	-4.370588
0.029074	0.325328	-4.370485
0.029074	0.340611	-4.370444
0.029839	0.340611	-4.370403
0.029839	0.356623	-4.370376
0.030604	0.356623	-4.370302
0.030604	0.372635	-4.369639
0.031370	0.372635	-4.369489
0.031370	0.373362	-4.369391
0.032135	0.373362	-4.369296
0.032135	0.374818	-4.368975
0.032900	0.374818	-4.368887
0.032900	0.376274	-4.368838
0.033665	0.376274	-4.368764
0.033665	0.385007	-4.368641
0.035195	0.385007	-4.368621
0.035195	0.413392	-4.368554
0.035960	0.413392	-4.368375
0.035960	0.434498	-4.368320
0.036725	0.434498	-4.368100
0.036725	0.452693	-4.368022
0.037490	0.452693	-4.367992
0.037490	0.465793	-4.367924
0.038256	0.465793	-4.367813
0.038256	0.481805	-4.367770
0.039786	0.481805	-4.367276
0.039786	0.482533	-4.367078
0.040551	0.482533	-4.367010
0.040551	0.491266	-4.366867
0.041316	0.491266	-4.366809
0.041316	0.492722	-4.366602
0.042081	0.492722	-4.366541
0.042081	0.502183	-4.366292
0.042846	0.502183	-4.366285
0.042846	0.510917	-4.366117
0.043611	0.510917	-4.366088
0.043611	0.531295	-4.365953
0.044376	0.531295	-4.365744
0.044376	0.538574	-4.365740
0.045142	0.538574	-4.365342
0.045142	0.539301	-4.365193
0.045907	0.539301	-4.364968
0.045907	0.560408	-4.364939
0.046672	0.560408	-4.364853
0.046672	0.565502	-4.364763
0.048202	0.565502	-4.364609
0.048202	0.582242	-4.364580
0.048967	0.582242	-4.364569
0.048967	0.604076	-4.364428
0.049732	0.604076	-4.364363
0.049732	0.616448	-4.364152
0.050497	0.616448	-4.363959
0.050497	0.627365	-4.363947
0.051262	0.627365	-4.363810
0.051262	0.647744	-4.363662
0.052028	0.647744	-4.363606
0.052028	0.654294	-4.363588
0.052793	0.654294	-4.363376
0.052793	0.670306	-4.363360
0.053558	0.670306	-4.363317
0.053558	0.671033	-4.363240
0.054323	0.671033	-4.363130
0.054323	0.697234	-4.363059
0.055853	0.697234	-4.363020
0.055853	0.698690	-4.362751
0.056618	0.698690	-4.362690
0.056618	0.705968	-4.362655
0.057383	0.705968	-4.362078
0.057383	0.706696	-4.362053
0.058148	0.706696	-4.362031
0.058148	0.707424	-4.361903
0.058914	0.707424	-4.361701
0.058914	0.709607	-4.361696
0.059679	0.709607	-4.361671
0.059679	0.716885	-4.361328
0.060444	0.716885	-4.361208
0.060444	0.717613	-4.361040
0.061209	0.717613	-4.361001
0.061209	0.718341	-4.360970
0.061974	0.718341	-4.360881
0.061974	0.719068	-4.360878
0.063504	0.719068	-4.360807
0.063504	0.721980	-4.360749
0.064269	0.721980	-4.360448
0.064269	0.724163	-4.360420
0.065034	0.724163	-4.360233
0.065034	0.728530	-4.360231
0.065800	0.728530	-4.360165
0.065800	0.738719	-4.360137
0.066565	0.738719	-4.359848
0.066565	0.746725	-4.359593
0.067330	0.746725	-4.359366
0.067330	0.758370	-4.359149
0.068095	0.758370	-4.359111
0.068095	0.759098	-4.359090
0.068860	0.759098	-4.359004
0.068860	0.759825	-4.358788
0.069625	0.759825	-4.358581
0.069625	0.768559	-4.358399
0.070390	0.768559	-4.358333
0.070390	0.771470	-4.358274
0.071155	0.771470	-4.358227
0.071155	0.772926	-4.358189
0.072686	0.772926	-4.358182
0.072686	0.774381	-4.358025
0.073451	0.774381	-4.357946
0.073451	0.776565	-4.357833
0.075746	0.776565	-4.357762
0.075746	0.780204	-4.357465
0.076511	0.780204	-4.357265
0.076511	0.780932	-4.357260
0.077276	0.780932	-4.357191
0.077276	0.781659	-4.357150
0.079572	0.781659	-4.357113
0.079572	0.782387	-4.356937
0.080337	0.782387	-4.356900
0.080337	0.784571	-4.356818
0.081867	0.784571	-4.356794
0.081867	0.786754	-4.356741
0.084162	0.786754	-4.356677
0.084162	0.793304	-4.356541
0.084927	0.793304	-4.356452
0.084927	0.794032	-4.356387
0.085692	0.794032	-4.356206
0.085692	0.795488	-4.356193
0.086458	0.795488	-4.356070
0.086458	0.796215	-4.355811
0.087988	0.796215	-4.355762
0.087988	0.800582	-4.355758
0.088753	0.800582	-4.355740
0.088753	0.802038	-4.355719
0.089518	0.802038	-4.355678
0.089518	0.804949	-4.355655
0.091048	0.804949	-4.355357
0.091048	0.806405	-4.355309
0.091813	0.806405	-4.355305
0.091813	0.807860	-4.355193
0.094109	0.807860	-4.354857
0.094109	0.809316	-4.354805
0.095639	0.809316	-4.354765
0.095639	0.812955	-4.354758
0.096404	0.812955	-4.354731
0.096404	0.815138	-4.354651
0.098699	0.815138	-4.354637
0.098699	0.818049	-4.354550
0.099464	0.818049	-4.354480
0.099464	0.820233	-4.354417
0.100230	0.820233	-4.354359
0.100230	0.820961	-4.354265
0.100995	0.820961	-4.354130
0.100995	0.821689	-4.354061
0.101760	0.821689	-4.354019
0.101760	0.825328	-4.353675
0.102525	0.825328	-4.353647
0.102525	0.826783	-4.353636
0.103290	0.826783	-4.353588
0.103290	0.828967	-4.353445
0.104055	0.828967	-4.353321
0.104055	0.834061	-4.353303
0.104820	0.834061	-4.353177
0.104820	0.834789	-4.353152
0.105585	0.834789	-4.353119
0.105585	0.835517	-4.353109
0.107116	0.835517	-4.353099
0.107116	0.836245	-4.352995
0.107881	0.836245	-4.352904
0.107881	0.842067	-4.352835
0.109411	0.842067	-4.352768
0.109411	0.842795	-4.352718
0.110176	0.842795	-4.352603
0.110176	0.846434	-4.352519
0.110941	0.846434	-4.352360
0.110941	0.851528	-4.352345
0.111706	0.851528	-4.352210
0.111706	0.852256	-4.351882
0.114002	0.852256	-4.351820
0.114002	0.852984	-4.351817
0.114767	0.852984	-4.351762
0.114767	0.853712	-4.351726
0.115532	0.853712	-4.351707
0.115532	0.860262	-4.351627
0.118592	0.860262	-4.351471
0.118592	0.861718	-4.351373
0.120888	0.861718	-4.351323
0.120888	0.863173	-4.351270
0.122418	0.863173	-4.351268
0.122418	0.870451	-4.351224
0.123183	0.870451	-4.351208
0.123183	0.872635	-4.351154
0.123948	0.872635	-4.351077
0.123948	0.874090	-4.351064
0.124713	0.874090	-4.351042
0.124713	0.875546	-4.350939
0.125478	0.875546	-4.350892
0.125478	0.880640	-4.350879
0.126243	0.880640	-4.350835
0.126243	0.882096	-4.350772
0.128539	0.882096	-4.350757
0.128539	0.886463	-4.350674
0.129304	0.886463	-4.350491
0.129304	0.887918	-4.350381
0.130069	0.887918	-4.350311
0.130069	0.889374	-4.350248
0.133894	0.889374	-4.350228
0.133894	0.890830	-4.350150
0.135425	0.890830	-4.350037
0.135425	0.891557	-4.349975
0.136955	0.891557	-4.349811
0.136955	0.892285	-4.349610
0.138485	0.892285	-4.349525
0.138485	0.893013	-4.349336
0.139250	0.893013	-4.348939
0.139250	0.893741	-4.348747
0.140015	0.893741	-4.348686
0.140015	0.894469	-4.348395
0.141546	0.894469	-4.348361
0.141546	0.895924	-4.348247
0.142311	0.895924	-4.348215
0.142311	0.898108	-4.348183
0.143076	0.898108	-4.348150
0.143076	0.898836	-4.348108
0.143841	0.898836	-4.348077
0.143841	0.900291	-4.347950
