FPR	TPR	THR
0.000000	0.000000	-2.208984
0.000000	0.000683	-2.183594
0.000000	0.012969	-2.179688
0.000000	0.014334	-2.166016
0.000000	0.015700	-2.123047
0.000820	0.015700	-2.097656
0.000820	0.017065	-2.089844
0.000820	0.018430	-2.072266
0.000820	0.024573	-2.066406
0.000820	0.025939	-2.046875
0.000820	0.027304	-2.039062
0.000820	0.028669	-2.033203
0.000820	0.029352	-2.029297
0.000820	0.030717	-2.025391
0.000820	0.034130	-2.019531
0.000820	0.035495	-2.017578
0.000820	0.038225	-2.013672
0.000820	0.040273	-2.009766
0.000820	0.041638	-2.005859
0.000820	0.044369	-2.000000
0.000820	0.045734	-1.991211
0.000820	0.048464	-1.989258
0.000820	0.049829	-1.983398
0.000820	0.051195	-1.981445
0.000820	0.055973	-1.975586
0.001641	0.056655	-1.974609
0.001641	0.059386	-1.971680
0.002461	0.059386	-1.970703
0.002461	0.060751	-1.969727
0.002461	0.063481	-1.968750
0.003281	0.064846	-1.965820
0.004102	0.064846	-1.964844
0.004102	0.070307	-1.962891
0.004102	0.071672	-1.958984
0.004102	0.073038	-1.957031
0.004922	0.073038	-1.956055
0.004922	0.075085	-1.955078
0.004922	0.077133	-1.950195
0.005742	0.077816	-1.946289
0.005742	0.079863	-1.942383
0.005742	0.087372	-1.940430
0.005742	0.088737	-1.938477
0.005742	0.090102	-1.937500
0.005742	0.091468	-1.934570
0.005742	0.092150	-1.932617
0.005742	0.093515	-1.931641
0.005742	0.096928	-1.928711
0.006563	0.096928	-1.927734
0.006563	0.097611	-1.926758
0.007383	0.098294	-1.919922
0.007383	0.101024	-1.916016
0.007383	0.103754	-1.915039
0.007383	0.104437	-1.912109
0.007383	0.105802	-1.911133
0.007383	0.106485	-1.909180
0.007383	0.107850	-1.908203
0.007383	0.109215	-1.907227
0.007383	0.111945	-1.906250
0.007383	0.113993	-1.905273
0.007383	0.114676	-1.900391
0.007383	0.116724	-1.898438
0.007383	0.118771	-1.897461
0.007383	0.120137	-1.896484
0.007383	0.120819	-1.895508
0.008203	0.121502	-1.894531
0.008203	0.123549	-1.884766
0.009024	0.123549	-1.882812
0.009024	0.124232	-1.880859
0.009024	0.126962	-1.879883
0.009024	0.127645	-1.875000
0.009844	0.128328	-1.874023
0.009844	0.130375	-1.873047
0.009844	0.133788	-1.872070
0.009844	0.135154	-1.870117
0.009844	0.137201	-1.869141
0.010664	0.137201	-1.868164
0.010664	0.138567	-1.866211
0.011485	0.139249	-1.865234
0.011485	0.141980	-1.864258
0.011485	0.143345	-1.863281
0.011485	0.144027	-1.861328
0.011485	0.145392	-1.860352
0.011485	0.146075	-1.858398
0.012305	0.146075	-1.857422
0.013126	0.146758	-1.856445
0.013126	0.148123	-1.853516
0.013946	0.148123	-1.852539
0.013946	0.149488	-1.851562
0.013946	0.150171	-1.849609
0.013946	0.151536	-1.848633
0.013946	0.152218	-1.847656
0.013946	0.153584	-1.846680
0.013946	0.154266	-1.845703
0.013946	0.155631	-1.842773
0.013946	0.158362	-1.841797
0.014766	0.159044	-1.839844
0.014766	0.159727	-1.838867
0.014766	0.161092	-1.836914
0.015587	0.162457	-1.835938
0.015587	0.163823	-1.834961
0.015587	0.165188	-1.833008
0.015587	0.167918	-1.832031
0.016407	0.168601	-1.830078
0.016407	0.176109	-1.829102
0.016407	0.178157	-1.827148
0.016407	0.178840	-1.826172
0.017227	0.178840	-1.825195
0.017227	0.179522	-1.824219
0.017227	0.182253	-1.821289
0.017227	0.183618	-1.820312
0.017227	0.184300	-1.818359
0.017227	0.187031	-1.816406
0.017227	0.189078	-1.815430
0.017227	0.191126	-1.814453
0.017227	0.192491	-1.812500
0.017227	0.193857	-1.807617
0.017227	0.195222	-1.805664
0.017227	0.197952	-1.803711
0.017227	0.200000	-1.802734
0.017227	0.201365	-1.801758
0.017227	0.204096	-1.800781
0.017227	0.204778	-1.798828
0.017227	0.207509	-1.796875
0.017227	0.209556	-1.795898
0.018048	0.209556	-1.794922
0.018048	0.212287	-1.792969
0.018048	0.212969	-1.791992
0.018048	0.215017	-1.790039
0.018048	0.215700	-1.789062
0.018048	0.217065	-1.788086
0.018048	0.218430	-1.787109
0.018048	0.219795	-1.786133
0.018048	0.221160	-1.784180
0.018048	0.222526	-1.783203
0.018048	0.223208	-1.782227
