FPR	TPR	THR
0.000000	0.000000	-1.947266
0.000000	0.000727	-1.909180
0.000000	0.004360	-1.870117
0.000000	0.005814	-1.869141
0.000000	0.007267	-1.867188
0.000767	0.007267	-1.849609
0.000767	0.010901	-1.844727
0.001534	0.011628	-1.842773
0.001534	0.013808	-1.841797
0.001534	0.016715	-1.836914
0.001534	0.018169	-1.834961
0.001534	0.019622	-1.832031
0.001534	0.021802	-1.831055
0.001534	0.023256	-1.825195
0.001534	0.023983	-1.816406
0.002301	0.023983	-1.810547
0.002301	0.026163	-1.808594
0.003067	0.026890	-1.806641
0.003067	0.027616	-1.802734
0.003067	0.030523	-1.801758
0.003067	0.034884	-1.797852
0.003067	0.036337	-1.796875
0.003067	0.041424	-1.792969
0.003834	0.041424	-1.789062
0.003834	0.042878	-1.786133
0.003834	0.044331	-1.782227
0.003834	0.045058	-1.781250
0.003834	0.046512	-1.779297
0.003834	0.047238	-1.778320
0.003834	0.050145	-1.776367
0.003834	0.053052	-1.774414
0.004601	0.053779	-1.771484
0.004601	0.055233	-1.770508
0.004601	0.055959	-1.766602
0.004601	0.057413	-1.763672
0.004601	0.058140	-1.762695
0.004601	0.061047	-1.761719
0.005368	0.061047	-1.760742
0.005368	0.061773	-1.755859
0.005368	0.064680	-1.754883
0.005368	0.067587	-1.750000
0.005368	0.069041	-1.747070
0.005368	0.069767	-1.746094
0.005368	0.071221	-1.744141
0.005368	0.074128	-1.743164
0.005368	0.075581	-1.742188
0.006135	0.075581	-1.738281
0.006135	0.076308	-1.734375
0.006135	0.077762	-1.731445
0.006135	0.078488	-1.730469
0.006135	0.082849	-1.729492
0.006135	0.084302	-1.726562
0.006902	0.084302	-1.724609
0.007669	0.085756	-1.723633
0.007669	0.086483	-1.722656
0.007669	0.088663	-1.720703
0.007669	0.090843	-1.719727
0.007669	0.092297	-1.718750
0.007669	0.093023	-1.717773
0.007669	0.095930	-1.716797
0.007669	0.097384	-1.714844
0.008436	0.098110	-1.712891
0.008436	0.101017	-1.710938
0.008436	0.102471	-1.709961
0.008436	0.104651	-1.706055
0.008436	0.107558	-1.704102
0.008436	0.109012	-1.703125
0.008436	0.110465	-1.702148
0.008436	0.111192	-1.701172
0.009202	0.115552	-1.699219
0.009202	0.117006	-1.697266
0.009202	0.117733	-1.695312
0.009202	0.119186	-1.694336
0.009202	0.121366	-1.691406
0.009202	0.124273	-1.686523
0.009202	0.125727	-1.685547
0.009202	0.130087	-1.678711
0.009202	0.132267	-1.676758
0.009202	0.132994	-1.672852
0.009202	0.134448	-1.671875
0.009969	0.137355	-1.669922
0.009969	0.138081	-1.667969
0.009969	0.139535	-1.666016
0.010736	0.139535	-1.664062
0.010736	0.140262	-1.662109
0.010736	0.141715	-1.661133
0.010736	0.146076	-1.660156
0.010736	0.146802	-1.659180
0.010736	0.148256	-1.658203
0.010736	0.148983	-1.657227
0.011503	0.150436	-1.656250
0.012270	0.151163	-1.654297
0.013037	0.155523	-1.653320
0.013037	0.156977	-1.652344
0.013037	0.159884	-1.648438
0.013037	0.162064	-1.647461
0.013804	0.163517	-1.646484
0.013804	0.164971	-1.644531
0.013804	0.167878	-1.642578
0.013804	0.169331	-1.641602
0.013804	0.170785	-1.640625
0.013804	0.171512	-1.639648
