FPR	TPR	THR
0.000000	0.000000	-2.310547
0.000000	0.000720	-2.289062
0.000000	0.002160	-2.257812
0.000000	0.006479	-2.230469
0.000000	0.007919	-2.208984
0.000000	0.012959	-2.189453
0.000000	0.014399	-2.183594
0.000000	0.015119	-2.166016
0.000000	0.016559	-2.162109
0.000000	0.020878	-2.160156
0.000000	0.022318	-2.148438
0.000000	0.029518	-2.142578
0.000774	0.030958	-2.134766
0.000774	0.033837	-2.128906
0.001548	0.033837	-2.123047
0.001548	0.034557	-2.119141
0.002322	0.034557	-2.117188
0.002322	0.035277	-2.113281
0.003096	0.035277	-2.111328
0.003096	0.037437	-2.107422
0.003096	0.038157	-2.105469
0.003096	0.039597	-2.103516
0.003096	0.042477	-2.099609
0.003096	0.043916	-2.095703
0.003096	0.049676	-2.093750
0.003096	0.051116	-2.089844
0.003096	0.052556	-2.087891
0.003096	0.053996	-2.085938
0.003096	0.056875	-2.078125
0.003096	0.059035	-2.076172
0.003096	0.060475	-2.074219
0.003096	0.061195	-2.072266
0.003096	0.062635	-2.070312
0.003870	0.063355	-2.064453
0.004644	0.063355	-2.062500
0.004644	0.064795	-2.060547
0.004644	0.066235	-2.056641
0.004644	0.067675	-2.054688
0.004644	0.069114	-2.052734
0.004644	0.073434	-2.050781
0.004644	0.074874	-2.046875
0.004644	0.075594	-2.042969
0.004644	0.078474	-2.039062
0.004644	0.083513	-2.033203
0.004644	0.084953	-2.031250
0.004644	0.087113	-2.029297
0.004644	0.088553	-2.027344
0.004644	0.094312	-2.025391
0.005418	0.094312	-2.023438
0.005418	0.098632	-2.021484
0.005418	0.100072	-2.017578
0.006192	0.100792	-2.015625
0.006192	0.101512	-2.013672
0.006966	0.101512	-2.011719
0.006966	0.102232	-2.009766
0.006966	0.104392	-2.007812
0.006966	0.105832	-2.005859
0.006966	0.107271	-2.003906
0.006966	0.109431	-2.001953
0.006966	0.112311	-1.999023
0.007740	0.112311	-1.998047
0.007740	0.113031	-1.997070
0.007740	0.114471	-1.996094
0.007740	0.115911	-1.992188
0.008514	0.116631	-1.986328
0.008514	0.119510	-1.984375
0.008514	0.120950	-1.983398
0.008514	0.122390	-1.982422
0.008514	0.126710	-1.981445
0.008514	0.128150	-1.980469
0.008514	0.131030	-1.975586
0.009288	0.132469	-1.974609
0.009288	0.134629	-1.970703
0.009288	0.136069	-1.965820
0.009288	0.138949	-1.964844
0.010062	0.140389	-1.963867
0.010062	0.141829	-1.962891
0.010062	0.142549	-1.961914
0.010062	0.143988	-1.959961
0.010062	0.144708	-1.958984
0.010836	0.144708	-1.958008
0.010836	0.149028	-1.957031
0.011610	0.150468	-1.956055
0.011610	0.151188	-1.954102
0.011610	0.152628	-1.952148
0.012384	0.154068	-1.951172
0.012384	0.156947	-1.950195
0.012384	0.158387	-1.948242
0.012384	0.159827	-1.946289
0.012384	0.160547	-1.945312
0.012384	0.164867	-1.941406
0.012384	0.166307	-1.940430
0.012384	0.167027	-1.937500
0.012384	0.168467	-1.935547
0.013158	0.168467	-1.934570
0.013158	0.171346	-1.933594
0.013158	0.174226	-1.929688
0.013158	0.175666	-1.926758
0.013158	0.176386	-1.923828
0.013158	0.177826	-1.919922
0.013158	0.178546	-1.918945
0.013158	0.179986	-1.916992
0.013158	0.180706	-1.916016
0.013158	0.182145	-1.915039
0.013158	0.182865	-1.913086
0.013158	0.184305	-1.910156
0.013158	0.186465	-1.909180
0.013932	0.186465	-1.908203
0.013932	0.187905	-1.906250
0.014706	0.188625	-1.905273
0.014706	0.189345	-1.904297
0.014706	0.191505	-1.898438
0.014706	0.194384	-1.896484
0.014706	0.195824	-1.894531
0.014706	0.197984	-1.893555
0.015480	0.198704	-1.892578
0.015480	0.199424	-1.890625
0.016254	0.201584	-1.888672
0.016254	0.203024	-1.887695
0.016254	0.205184	-1.885742
0.016254	0.206623	-1.884766
0.016254	0.208783	-1.882812
0.016254	0.210223	-1.878906
0.016254	0.212383	-1.877930
0.016254	0.213103	-1.876953
0.017802	0.214543	-1.875977
0.017802	0.216703	-1.875000
0.017802	0.218143	-1.874023
0.017802	0.221022	-1.873047
0.018576	0.221742	-1.872070
0.018576	0.225342	-1.871094
0.019350	0.225342	-1.869141
0.019350	0.227502	-1.868164
0.019350	0.230382	-1.867188
0.019350	0.232541	-1.864258
0.019350	0.233981	-1.862305
0.019350	0.235421	-1.860352
0.020898	0.236141	-1.859375
0.020898	0.238301	-1.857422
0.021672	0.239741	-1.855469
0.021672	0.240461	-1.851562
0.021672	0.241901	-1.849609
0.021672	0.243341	-1.848633
0.021672	0.245500	-1.846680
0.021672	0.246940	-1.844727
0.021672	0.248380	-1.841797
0.021672	0.250540	-1.836914
0.022446	0.251980	-1.835938
0.022446	0.253420	-1.834961
0.022446	0.255580	-1.833008
0.022446	0.257019	-1.832031
0.023994	0.258459	-1.831055
0.024768	0.260619	-1.829102
0.024768	0.261339	-1.828125
0.026316	0.261339	-1.827148
0.027090	0.262059	-1.826172
0.027090	0.263499	-1.824219
0.028638	0.266379	-1.823242
0.029412	0.267099	-1.821289
0.029412	0.269258	-1.819336
0.029412	0.270698	-1.816406
0.030186	0.271418	-1.815430
0.030186	0.272858	-1.813477
0.030186	0.275018	-1.812500
0.030186	0.276458	-1.807617
0.030186	0.279338	-1.806641
0.030186	0.280778	-1.801758
0.030186	0.281497	-1.800781
0.030186	0.282937	-1.798828
0.030186	0.285097	-1.797852
0.030960	0.286537	-1.795898
0.030960	0.287257	-1.793945
0.030960	0.288697	-1.792969
0.030960	0.289417	-1.791992
0.030960	0.292297	-1.791016
0.030960	0.293017	-1.788086
0.030960	0.294456	-1.787109
0.030960	0.295176	-1.786133
0.030960	0.297336	-1.785156
0.031734	0.297336	-1.782227
0.031734	0.298776	-1.780273
0.031734	0.300936	-1.779297
0.031734	0.302376	-1.778320
0.031734	0.303816	-1.777344
0.031734	0.305256	-1.773438
0.031734	0.307415	-1.772461
0.031734	0.308855	-1.770508
0.031734	0.314615	-1.769531
0.031734	0.316055	-1.766602
0.032508	0.316775	-1.763672
0.032508	0.318934	-1.761719
0.032508	0.321814	-1.760742
0.032508	0.322534	-1.759766
0.033282	0.323254	-1.758789
0.033282	0.323974	-1.756836
0.033282	0.325414	-1.755859
0.033282	0.328294	-1.753906
0.033282	0.329734	-1.750977
0.033282	0.331174	-1.749023
0.033282	0.334053	-1.747070
0.034056	0.335493	-1.746094
0.034056	0.336213	-1.744141
0.034056	0.338373	-1.743164
0.034830	0.339813	-1.742188
0.034830	0.340533	-1.740234
0.034830	0.343413	-1.739258
0.035604	0.343413	-1.738281
0.035604	0.344852	-1.735352
0.035604	0.347012	-1.732422
0.036378	0.348452	-1.731445
0.036378	0.349892	-1.729492
0.037152	0.350612	-1.727539
0.037152	0.352772	-1.726562
0.037152	0.354212	-1.725586
0.037152	0.354932	-1.724609
0.037152	0.356371	-1.720703
0.037152	0.357091	-1.719727
0.037926	0.357811	-1.717773
0.037926	0.360691	-1.712891
0.038700	0.361411	-1.711914
0.038700	0.364291	-1.709961
0.038700	0.366451	-1.708984
0.038700	0.367891	-1.706055
0.039474	0.370050	-1.702148
0.039474	0.371490	-1.700195
0.040248	0.372210	-1.699219
0.041796	0.374370	-1.698242
0.042570	0.376530	-1.696289
0.042570	0.377970	-1.695312
0.043344	0.377970	-1.693359
0.043344	0.379410	-1.688477
0.044118	0.379410	-1.687500
0.044118	0.380130	-1.686523
0.044118	0.381569	-1.685547
0.044118	0.385169	-1.683594
0.044118	0.388769	-1.682617
0.045666	0.389489	-1.681641
0.045666	0.392369	-1.680664
0.045666	0.394528	-1.679688
0.045666	0.395968	-1.676758
0.046440	0.395968	-1.675781
0.047214	0.397408	-1.674805
0.047214	0.398848	-1.673828
0.047988	0.399568	-1.671875
0.049536	0.400288	-1.670898
0.049536	0.401008	-1.666992
0.049536	0.403888	-1.665039
0.049536	0.404608	-1.663086
0.049536	0.406048	-1.662109
0.050310	0.407487	-1.660156
0.050310	0.408927	-1.659180
0.050310	0.411087	-1.655273
0.050310	0.411807	-1.651367
0.050310	0.413247	-1.645508
0.051858	0.413967	-1.643555
0.051858	0.414687	-1.641602
0.051858	0.416847	-1.640625
0.052632	0.416847	-1.638672
0.052632	0.418287	-1.636719
0.053406	0.420446	-1.634766
0.053406	0.421166	-1.632812
0.053406	0.422606	-1.631836
0.053406	0.423326	-1.630859
0.054180	0.424046	-1.629883
0.054180	0.425486	-1.627930
0.054180	0.426206	-1.626953
0.054180	0.427646	-1.624023
0.054180	0.428366	-1.621094
0.054180	0.431246	-1.620117
0.054180	0.431965	-1.618164
0.054954	0.432685	-1.615234
0.054954	0.434125	-1.613281
0.055728	0.435565	-1.610352
0.055728	0.436285	-1.609375
0.055728	0.437725	-1.607422
0.056502	0.438445	-1.604492
0.056502	0.439165	-1.603516
0.056502	0.442045	-1.598633
0.056502	0.442765	-1.593750
0.056502	0.447084	-1.587891
0.056502	0.448524	-1.585938
0.057276	0.448524	-1.583008
0.057276	0.450684	-1.581055
0.057276	0.452124	-1.579102
0.058050	0.453564	-1.576172
0.058050	0.455724	-1.574219
0.058824	0.455724	-1.573242
0.058824	0.457163	-1.571289
0.058824	0.457883	-1.568359
0.058824	0.460763	-1.567383
0.060372	0.461483	-1.566406
0.060372	0.462923	-1.564453
0.060372	0.465083	-1.562500
0.060372	0.466523	-1.557617
0.061146	0.467243	-1.556641
0.061920	0.467243	-1.554688
0.061920	0.469402	-1.553711
0.061920	0.470842	-1.546875
0.061920	0.473002	-1.545898
0.061920	0.475882	-1.539062
0.061920	0.476602	-1.538086
0.061920	0.478762	-1.537109
0.061920	0.481641	-1.536133
0.061920	0.483081	-1.535156
0.061920	0.483801	-1.533203
0.061920	0.485241	-1.530273
0.061920	0.485961	-1.529297
0.063467	0.485961	-1.528320
0.063467	0.486681	-1.525391
0.063467	0.491001	-1.523438
0.063467	0.492441	-1.521484
0.065015	0.493880	-1.520508
0.065015	0.495320	-1.519531
0.065015	0.496040	-1.517578
0.065015	0.498920	-1.515625
0.065015	0.501080	-1.514648
0.065789	0.503960	-1.512695
0.065789	0.504680	-1.511719
0.067337	0.505400	-1.510742
0.067337	0.506839	-1.509766
0.067337	0.507559	-1.508789
0.068885	0.510439	-1.507812
0.068885	0.511159	-1.506836
0.069659	0.511159	-1.505859
0.069659	0.511879	-1.504883
0.070433	0.511879	-1.503906
0.070433	0.512599	-1.501953
0.071207	0.513319	-1.495117
0.071981	0.513319	-1.494141
0.071981	0.516199	-1.493164
0.073529	0.516199	-1.492188
0.074303	0.516199	-1.486328
0.074303	0.518359	-1.485352
0.074303	0.519078	-1.483398
0.074303	0.520518	-1.479492
0.074303	0.521238	-1.478516
0.074303	0.522678	-1.476562
0.075077	0.522678	-1.475586
0.075077	0.524118	-1.474609
0.076625	0.524118	-1.471680
0.076625	0.525558	-1.468750
0.077399	0.526278	-1.466797
0.078947	0.526278	-1.464844
0.079721	0.527718	-1.463867
0.079721	0.529158	-1.462891
0.079721	0.530598	-1.458008
0.079721	0.533477	-1.457031
0.080495	0.534197	-1.454102
0.080495	0.534917	-1.453125
0.081269	0.535637	-1.452148
0.081269	0.538517	-1.448242
0.081269	0.539957	-1.445312
0.081269	0.541397	-1.444336
0.081269	0.544276	-1.441406
0.081269	0.546436	-1.440430
0.081269	0.547876	-1.438477
0.081269	0.550756	-1.436523
0.082043	0.550756	-1.433594
0.082817	0.552196	-1.429688
0.082817	0.552916	-1.428711
0.083591	0.552916	-1.427734
0.083591	0.554356	-1.420898
0.084365	0.554356	-1.418945
0.084365	0.555076	-1.416992
0.084365	0.556515	-1.416016
0.084365	0.557235	-1.414062
0.084365	0.561555	-1.412109
0.085139	0.561555	-1.409180
0.085139	0.562275	-1.408203
0.085913	0.562995	-1.407227
0.085913	0.564435	-1.404297
0.086687	0.565155	-1.402344
0.086687	0.566595	-1.401367
0.086687	0.568035	-1.400391
0.087461	0.568035	-1.399414
0.087461	0.570194	-1.395508
0.087461	0.571634	-1.394531
0.089009	0.571634	-1.393555
0.089009	0.573074	-1.392578
0.090557	0.573074	-1.385742
0.091331	0.573794	-1.384766
0.091331	0.574514	-1.383789
0.091331	0.575954	-1.377930
0.091331	0.576674	-1.375000
0.092105	0.578114	-1.372070
0.092105	0.582433	-1.371094
0.092105	0.583873	-1.370117
0.092105	0.584593	-1.368164
0.093653	0.586033	-1.367188
0.093653	0.588193	-1.366211
0.094427	0.588193	-1.364258
0.094427	0.589633	-1.361328
0.094427	0.590353	-1.360352
0.095201	0.591793	-1.359375
0.095201	0.592513	-1.358398
0.095975	0.592513	-1.357422
0.095975	0.595392	-1.354492
0.096749	0.595392	-1.353516
0.096749	0.596112	-1.348633
0.097523	0.597552	-1.347656
0.097523	0.598272	-1.346680
0.098297	0.598272	-1.345703
0.098297	0.598992	-1.344727
0.098297	0.600432	-1.341797
0.099071	0.600432	-1.340820
0.100619	0.600432	-1.338867
0.100619	0.601872	-1.337891
0.100619	0.603312	-1.333984
0.100619	0.604032	-1.333008
0.101393	0.604032	-1.331055
0.101393	0.605472	-1.330078
0.102167	0.605472	-1.328125
0.102167	0.606192	-1.325195
0.102941	0.606192	-1.324219
0.102941	0.607631	-1.323242
0.103715	0.607631	-1.321289
0.104489	0.608351	-1.316406
0.104489	0.609071	-1.313477
0.105263	0.609071	-1.312500
0.105263	0.611231	-1.310547
0.106811	0.611231	-1.308594
0.106811	0.615551	-1.307617
0.107585	0.615551	-1.302734
0.107585	0.616271	-1.301758
0.108359	0.616271	-1.300781
0.108359	0.616991	-1.297852
0.108359	0.618431	-1.295898
0.108359	0.619870	-1.294922
0.109133	0.619870	-1.293945
0.109133	0.621310	-1.290039
0.109133	0.623470	-1.285156
0.109133	0.624190	-1.284180
0.109133	0.625630	-1.283203
0.109133	0.627790	-1.279297
0.109133	0.629230	-1.277344
0.109133	0.629950	-1.272461
0.109907	0.629950	-1.270508
0.109907	0.631389	-1.268555
0.110681	0.632109	-1.259766
0.110681	0.633549	-1.252930
0.110681	0.636429	-1.250977
0.110681	0.637149	-1.249023
