FPR	TPR	THR
0.000000	0.000000	-7.457031
0.000000	0.000741	-7.425781
0.000000	0.003704	-7.410156
0.000000	0.008148	-7.398438
0.000000	0.008889	-7.343750
0.000000	0.012593	-7.332031
0.000000	0.014074	-7.320312
0.000000	0.015556	-7.312500
0.000000	0.017037	-7.292969
0.000000	0.017778	-7.285156
0.000000	0.020000	-7.277344
0.000000	0.022963	-7.265625
0.000000	0.028148	-7.261719
0.000000	0.029630	-7.257812
0.000000	0.031852	-7.242188
0.000000	0.033333	-7.222656
0.000000	0.034074	-7.218750
0.000000	0.037037	-7.214844
0.000751	0.038519	-7.210938
0.000751	0.041481	-7.207031
0.000751	0.042222	-7.199219
0.000751	0.043704	-7.191406
0.000751	0.044444	-7.187500
0.000751	0.045926	-7.183594
0.000751	0.046667	-7.179688
0.000751	0.049630	-7.171875
0.000751	0.051852	-7.167969
0.000751	0.053333	-7.164062
0.000751	0.055556	-7.160156
0.000751	0.056296	-7.156250
0.001502	0.057778	-7.152344
0.001502	0.060000	-7.148438
0.001502	0.064444	-7.144531
0.001502	0.065926	-7.140625
0.001502	0.068148	-7.136719
0.001502	0.069630	-7.132812
0.001502	0.071852	-7.125000
0.001502	0.073333	-7.121094
0.001502	0.074815	-7.117188
0.001502	0.078519	-7.109375
0.001502	0.081481	-7.101562
0.001502	0.082222	-7.097656
0.001502	0.084444	-7.093750
0.001502	0.085185	-7.089844
0.001502	0.086667	-7.085938
0.002252	0.088889	-7.082031
0.002252	0.091111	-7.078125
0.002252	0.091852	-7.074219
0.002252	0.094074	-7.070312
0.002252	0.097037	-7.066406
0.002252	0.101481	-7.062500
0.002252	0.102222	-7.058594
0.002252	0.108148	-7.050781
0.002252	0.113333	-7.046875
0.002252	0.116296	-7.042969
0.002252	0.117778	-7.039062
0.002252	0.120000	-7.035156
0.002252	0.122963	-7.031250
0.002252	0.126667	-7.023438
0.002252	0.128889	-7.019531
0.002252	0.131852	-7.015625
0.002252	0.132593	-7.011719
0.002252	0.134815	-7.007812
0.002252	0.135556	-7.000000
0.002252	0.137778	-6.996094
0.002252	0.140741	-6.992188
0.002252	0.142222	-6.988281
0.002252	0.143704	-6.984375
0.002252	0.146667	-6.980469
0.002252	0.151111	-6.972656
0.002252	0.154815	-6.968750
0.002252	0.157037	-6.964844
0.002252	0.160000	-6.960938
0.002252	0.162963	-6.957031
0.002252	0.163704	-6.953125
0.002252	0.169630	-6.949219
0.002252	0.171111	-6.945312
0.002252	0.174074	-6.941406
0.002252	0.178519	-6.937500
0.002252	0.180741	-6.933594
0.002252	0.183704	-6.929688
0.002252	0.185926	-6.925781
0.002252	0.187407	-6.921875
0.002252	0.194074	-6.917969
0.002252	0.197037	-6.914062
0.002252	0.198519	-6.910156
0.003003	0.200741	-6.902344
0.003003	0.202222	-6.898438
0.003003	0.202963	-6.894531
0.003003	0.206667	-6.890625
0.003754	0.209630	-6.886719
0.003754	0.212593	-6.878906
0.003754	0.213333	-6.875000
0.003754	0.215556	-6.871094
0.003754	0.217037	-6.867188
0.003754	0.220000	-6.863281
0.003754	0.220741	-6.859375
0.003754	0.226667	-6.847656
0.003754	0.228148	-6.843750
0.003754	0.228889	-6.839844
0.003754	0.231111	-6.835938
0.003754	0.234074	-6.832031
0.003754	0.235556	-6.828125
0.003754	0.240000	-6.824219
0.004505	0.242963	-6.820312
0.004505	0.243704	-6.816406
0.005255	0.245185	-6.812500
0.005255	0.251111	-6.804688
0.005255	0.254815	-6.800781
0.005255	0.257037	-6.796875
0.005255	0.261481	-6.792969
0.005255	0.264444	-6.789062
0.005255	0.267407	-6.785156
0.005255	0.268889	-6.781250
0.006006	0.272593	-6.777344
0.007508	0.276296	-6.773438
0.007508	0.280000	-6.769531
0.007508	0.280741	-6.765625
0.008258	0.280741	-6.757812
0.008258	0.283704	-6.753906
0.008258	0.287407	-6.750000
0.008258	0.289630	-6.742188
0.009009	0.294815	-6.738281
0.009009	0.301481	-6.734375
0.009760	0.302963	-6.730469
0.009760	0.303704	-6.726562
0.009760	0.308148	-6.722656
0.010511	0.309630	-6.718750
0.010511	0.312593	-6.714844
0.010511	0.317037	-6.707031
0.010511	0.317778	-6.703125
0.010511	0.319259	-6.699219
0.010511	0.322222	-6.695312
0.010511	0.324444	-6.691406
0.010511	0.327407	-6.687500
0.010511	0.328148	-6.683594
0.010511	0.330370	-6.679688
0.010511	0.334815	-6.675781
0.010511	0.339259	-6.671875
0.011261	0.342963	-6.667969
0.012012	0.345926	-6.664062
0.012012	0.347407	-6.660156
0.012012	0.349630	-6.656250
0.012012	0.352593	-6.652344
0.012012	0.355556	-6.648438
0.012012	0.357037	-6.644531
0.012012	0.361481	-6.640625
0.012763	0.362963	-6.632812
0.012763	0.365185	-6.628906
0.012763	0.365926	-6.625000
0.012763	0.368148	-6.621094
0.013514	0.369630	-6.617188
0.013514	0.374074	-6.613281
0.013514	0.377037	-6.609375
0.013514	0.380741	-6.601562
0.014264	0.382222	-6.597656
0.014264	0.383704	-6.593750
0.015015	0.385185	-6.589844
0.015015	0.386667	-6.585938
0.015015	0.388889	-6.582031
0.015015	0.392593	-6.578125
0.015015	0.393333	-6.574219
0.015766	0.395556	-6.566406
0.015766	0.398519	-6.562500
0.016517	0.399259	-6.558594
0.016517	0.400000	-6.554688
0.016517	0.404444	-6.550781
0.016517	0.407407	-6.546875
0.016517	0.409630	-6.542969
0.016517	0.410370	-6.539062
0.016517	0.412593	-6.527344
0.017267	0.416296	-6.523438
0.017267	0.417037	-6.519531
0.018018	0.419259	-6.515625
0.018018	0.420741	-6.511719
0.018018	0.425185	-6.507812
0.018018	0.425926	-6.503906
0.018018	0.428889	-6.500000
0.018018	0.430370	-6.496094
0.018018	0.432593	-6.476562
0.018018	0.436296	-6.472656
0.018018	0.438519	-6.468750
0.018018	0.441481	-6.464844
0.018018	0.442222	-6.460938
0.018018	0.444444	-6.457031
0.018769	0.445926	-6.453125
0.018769	0.450370	-6.449219
0.018769	0.454815	-6.445312
0.019520	0.456296	-6.437500
0.020270	0.458519	-6.433594
0.020270	0.460741	-6.429688
0.024775	0.467407	-6.425781
0.025526	0.468148	-6.421875
0.025526	0.471111	-6.417969
0.025526	0.471852	-6.414062
0.026276	0.472593	-6.410156
0.027027	0.477037	-6.406250
0.027027	0.477778	-6.402344
0.027778	0.479259	-6.398438
0.027778	0.480741	-6.394531
0.027778	0.482963	-6.390625
0.028529	0.485185	-6.386719
0.028529	0.488889	-6.382812
0.028529	0.491852	-6.378906
0.028529	0.494074	-6.375000
0.029279	0.496296	-6.371094
0.029279	0.497037	-6.367188
0.029279	0.498519	-6.363281
0.029279	0.499259	-6.359375
