FPR	TPR	THR
0.000000	0.000000	-35.292751
0.000000	0.000714	-35.282513
0.000000	0.003571	-35.274452
0.000781	0.003571	-35.272129
0.000781	0.070714	-35.264065
0.001563	0.070714	-35.260952
0.001563	0.106429	-35.258591
0.001563	0.107857	-35.257462
0.001563	0.156429	-35.257008
0.002344	0.156429	-35.256439
0.002344	0.162857	-35.256279
0.003125	0.162857	-35.255325
0.003125	0.169286	-35.253826
0.003906	0.169286	-35.253273
0.003906	0.205714	-35.252628
0.004687	0.205714	-35.252590
0.004687	0.220000	-35.252571
0.004687	0.221429	-35.251411
0.004687	0.235714	-35.250946
0.005469	0.235714	-35.250267
0.005469	0.250714	-35.249134
0.006250	0.251429	-35.248470
0.006250	0.279286	-35.247112
0.007031	0.279286	-35.247066
0.007031	0.382143	-35.246593
0.007812	0.382143	-35.246128
0.007812	0.390714	-35.246098
0.008594	0.390714	-35.244911
0.008594	0.410000	-35.244156
0.009375	0.410000	-35.243240
0.009375	0.412857	-35.242748
0.010156	0.412857	-35.242550
0.010156	0.416429	-35.241467
0.010937	0.416429	-35.241070
0.010937	0.419286	-35.239620
0.011719	0.419286	-35.238873
0.011719	0.436429	-35.238586
0.012500	0.436429	-35.238422
0.012500	0.437857	-35.238377
0.013281	0.437857	-35.237064
0.013281	0.442857	-35.236916
0.014063	0.442857	-35.235653
0.014063	0.443571	-35.235580
0.014844	0.443571	-35.235138
0.014844	0.447857	-35.233559
0.015625	0.447857	-35.232994
0.015625	0.450714	-35.232777
0.016406	0.450714	-35.232307
0.016406	0.478571	-35.232281
0.017188	0.478571	-35.232224
0.017188	0.483571	-35.231686
0.017188	0.485000	-35.231682
0.017188	0.491429	-35.231174
0.017969	0.491429	-35.230686
0.017969	0.502143	-35.230515
0.018750	0.502143	-35.229435
0.018750	0.505714	-35.227715
0.021094	0.505714	-35.227646
0.021094	0.507857	-35.227428
0.021875	0.507857	-35.227020
0.021875	0.513571	-35.226978
0.022656	0.513571	-35.226364
0.022656	0.518571	-35.225796
0.023438	0.518571	-35.225750
0.023438	0.520000	-35.224510
0.024219	0.520000	-35.224369
0.024219	0.521429	-35.224136
0.025000	0.521429	-35.223846
0.025000	0.527857	-35.223785
0.025781	0.527857	-35.223297
0.025781	0.540714	-35.222858
0.026562	0.540714	-35.222401
0.026562	0.545714	-35.222168
0.027344	0.545714	-35.222164
0.027344	0.547143	-35.222057
0.028125	0.547143	-35.221439
0.028125	0.552143	-35.221413
0.028906	0.552143	-35.220997
0.028906	0.571429	-35.220943
0.029687	0.571429	-35.220867
0.029687	0.576429	-35.220406
0.031250	0.576429	-35.220314
0.031250	0.587143	-35.220306
0.032031	0.587143	-35.220192
0.032031	0.590000	-35.219810
0.032031	0.592857	-35.219707
0.032031	0.595714	-35.219479
0.032813	0.595714	-35.219181
0.032813	0.599286	-35.219025
0.033594	0.599286	-35.218838
0.033594	0.603571	-35.218670
0.034375	0.603571	-35.217304
0.034375	0.606429	-35.217144
0.035156	0.606429	-35.217136
0.035156	0.609286	-35.216805
0.035937	0.609286	-35.216293
0.035937	0.610714	-35.216160
0.036719	0.610714	-35.215351
0.036719	0.612857	-35.215252
0.037500	0.612857	-35.215008
0.037500	0.620000	-35.214260
0.038281	0.620000	-35.214069
0.038281	0.623571	-35.213959
0.039062	0.623571	-35.213951
0.039062	0.635000	-35.213707
0.039844	0.635000	-35.213680
0.039844	0.635714	-35.213116
0.040625	0.635714	-35.212990
0.040625	0.640714	-35.212917
0.041406	0.640714	-35.212788
0.041406	0.645000	-35.212334
0.042188	0.645000	-35.212055
0.042188	0.656429	-35.211983
0.042969	0.656429	-35.211906
0.042969	0.665000	-35.211723
0.043750	0.665000	-35.211693
0.043750	0.665714	-35.211441
0.044531	0.665714	-35.211353
0.044531	0.667857	-35.210503
0.045312	0.667857	-35.210396
0.045312	0.675000	-35.210220
0.046094	0.675000	-35.210197
0.046094	0.693571	-35.209824
0.050000	0.693571	-35.209805
0.050000	0.695714	-35.209194
0.050781	0.695714	-35.209167
0.050781	0.702857	-35.208984
0.053125	0.702857	-35.208961
0.053125	0.708571	-35.208794
0.053906	0.708571	-35.208145
0.053906	0.712857	-35.208103
0.054688	0.712857	-35.207592
0.054688	0.721429	-35.207401
0.055469	0.721429	-35.207233
0.055469	0.725714	-35.206753
0.056250	0.725714	-35.206604
0.056250	0.730714	-35.206272
0.057031	0.730714	-35.206123
0.057031	0.737857	-35.205944
0.057813	0.737857	-35.205597
0.057813	0.740714	-35.205391
0.058594	0.740714	-35.205124
0.058594	0.742857	-35.204903
0.059375	0.742857	-35.204372
0.059375	0.746429	-35.204227
0.060156	0.746429	-35.203529
0.060156	0.758571	-35.203144
0.060937	0.758571	-35.203068
0.060937	0.759286	-35.202972
0.061719	0.759286	-35.202892
0.061719	0.765000	-35.202862
0.063281	0.765000	-35.202621
0.063281	0.772857	-35.202396
0.064844	0.772857	-35.202148
0.064844	0.780000	-35.201859
0.065625	0.780000	-35.201820
0.065625	0.782857	-35.201637
0.067187	0.782857	-35.201073
0.067187	0.785714	-35.200790
0.068750	0.785714	-35.200512
0.068750	0.787143	-35.200428
0.069531	0.787143	-35.199982
0.069531	0.789286	-35.199322
0.070312	0.789286	-35.199181
0.070312	0.790000	-35.199097
0.071094	0.790000	-35.198856
0.071094	0.791429	-35.198498
0.071875	0.791429	-35.198460
0.071875	0.792857	-35.197433
0.072656	0.792857	-35.197159
0.072656	0.799286	-35.197155
0.073438	0.799286	-35.197086
0.073438	0.801429	-35.196812
0.074219	0.801429	-35.196388
0.074219	0.802857	-35.196384
0.075000	0.802857	-35.196186
0.075000	0.807143	-35.195778
0.075781	0.807143	-35.195679
0.075781	0.808571	-35.195618
0.077344	0.808571	-35.195465
0.077344	0.810714	-35.195232
0.078906	0.810714	-35.194984
0.078906	0.818571	-35.194885
0.080469	0.818571	-35.194801
0.080469	0.823571	-35.194305
0.081250	0.823571	-35.194191
0.081250	0.826429	-35.194122
0.082031	0.826429	-35.194080
0.082031	0.827143	-35.193634
0.082812	0.827143	-35.193287
0.082812	0.827857	-35.192608
0.083594	0.827857	-35.192516
0.083594	0.832143	-35.192287
0.084375	0.832143	-35.192169
0.084375	0.832857	-35.192154
0.085156	0.832857	-35.191811
0.085156	0.835000	-35.191601
0.086719	0.835000	-35.191238
0.086719	0.836429	-35.191048
0.088281	0.836429	-35.190918
0.088281	0.837857	-35.190891
0.089063	0.837857	-35.190842
0.089063	0.847857	-35.190720
0.090625	0.847857	-35.189751
0.090625	0.852857	-35.189629
0.091406	0.852857	-35.189339
0.091406	0.853571	-35.189075
0.095312	0.853571	-35.188831
0.095312	0.855000	-35.188648
0.096094	0.855000	-35.188614
0.096094	0.855714	-35.188545
0.096875	0.855714	-35.188412
0.096875	0.857143	-35.188351
0.098437	0.857143	-35.188202
0.098437	0.858571	-35.187878
0.099219	0.858571	-35.187855
0.099219	0.860000	-35.187584
0.100000	0.860000	-35.187416
0.100000	0.860714	-35.187340
0.100781	0.860714	-35.187119
0.100781	0.861429	-35.186363
0.101562	0.861429	-35.186188
0.101562	0.863571	-35.186176
0.103906	0.863571	-35.186020
0.103906	0.864286	-35.185497
0.104688	0.864286	-35.185436
0.104688	0.867143	-35.185242
0.105469	0.867143	-35.185070
0.105469	0.868571	-35.184841
0.107031	0.868571	-35.184525
0.107031	0.870714	-35.184315
0.109375	0.870714	-35.184242
0.109375	0.874286	-35.184006
0.110156	0.874286	-35.183140
0.110156	0.879286	-35.182888
0.110937	0.879286	-35.182724
0.110937	0.880000	-35.182400
0.111719	0.880000	-35.181999
0.111719	0.880714	-35.181694
0.113281	0.880714	-35.181656
0.113281	0.881429	-35.181629
0.114844	0.881429	-35.181545
0.114844	0.882857	-35.181538
0.116406	0.882857	-35.181061
0.116406	0.887857	-35.180489
0.117188	0.887857	-35.180401
0.117188	0.890000	-35.180351
0.120313	0.890000	-35.180340
0.120313	0.892857	-35.180302
0.121094	0.892857	-35.179974
0.121094	0.893571	-35.179901
0.121875	0.893571	-35.179867
0.121875	0.894286	-35.179588
0.122656	0.894286	-35.179531
0.122656	0.895714	-35.179119
0.124219	0.895714	-35.178604
0.124219	0.899286	-35.178513
0.125781	0.899286	-35.178471
0.125781	0.900000	-35.178158
0.126562	0.900000	-35.178028
0.126562	0.900714	-35.177944
0.128906	0.900714	-35.177937
0.128906	0.901429	-35.177685
0.132031	0.901429	-35.177574
0.132031	0.903571	-35.177170
0.133594	0.903571	-35.177059
0.133594	0.905714	-35.176594
0.135156	0.905714	-35.176155
0.135156	0.906429	-35.175755
0.135937	0.906429	-35.175388
0.135937	0.907857	-35.175201
0.137500	0.907857	-35.175133
0.137500	0.908571	-35.175106
0.139844	0.908571	-35.174984
0.139844	0.909286	-35.174751
0.142969	0.909286	-35.174450
0.142969	0.911429	-35.174122
0.145313	0.911429	-35.173649
0.145313	0.912143	-35.173489
0.147656	0.912143	-35.173435
0.147656	0.912857	-35.173264
0.148438	0.912857	-35.173180
0.148438	0.914286	-35.172943
0.149219	0.914286	-35.172886
0.149219	0.915714	-35.172684
0.150000	0.915714	-35.172256
0.150000	0.917143	-35.172188
0.150781	0.917143	-35.171947
0.150781	0.918571	-35.171558
0.152344	0.918571	-35.171463
0.152344	0.919286	-35.171017
0.153125	0.919286	-35.170959
0.153125	0.920000	-35.170624
0.153906	0.920000	-35.170422
0.153906	0.920714	-35.170361
0.157031	0.920714	-35.170303
0.157031	0.921429	-35.170025
0.157812	0.921429	-35.169910
0.157812	0.922857	-35.169781
0.160156	0.922857	-35.169704
0.160156	0.923571	-35.169689
0.161719	0.923571	-35.169628
0.161719	0.925714	-35.169556
0.165625	0.925714	-35.169514
0.165625	0.926429	-35.169502
0.167187	0.926429	-35.169411
0.167187	0.927143	-35.169262
0.167969	0.927143	-35.169197
0.167969	0.930000	-35.169170
0.169531	0.930000	-35.168934
0.169531	0.930714	-35.168560
0.171094	0.930714	-35.168354
0.171094	0.931429	-35.167713
0.171875	0.931429	-35.167629
0.171875	0.932857	-35.167606
0.172656	0.932857	-35.167484
0.172656	0.936429	-35.167431
0.177344	0.936429	-35.167377
0.177344	0.937857	-35.167274
0.178906	0.937857	-35.167267
0.178906	0.938571	-35.167213
0.181250	0.938571	-35.166924
0.181250	0.939286	-35.166542
0.182031	0.939286	-35.166492
0.182031	0.940714	-35.165649
0.182812	0.940714	-35.165581
0.182812	0.941429	-35.165531
0.183594	0.941429	-35.165043
0.183594	0.942143	-35.164921
0.185938	0.942143	-35.164627
0.185938	0.943571	-35.164520
0.187500	0.943571	-35.164158
0.187500	0.945714	-35.164108
0.189062	0.945714	-35.163509
0.189062	0.946429	-35.163479
0.199219	0.946429	-35.163345
0.199219	0.949286	-35.163342
0.200000	0.949286	-35.163216
0.200000	0.950000	-35.163212
0.201563	0.950000	-35.162720
0.201563	0.950714	-35.162674
0.202344	0.950714	-35.162529
0.202344	0.951429	-35.162247
0.205469	0.951429	-35.161896
0.205469	0.952143	-35.161644
0.207031	0.952143	-35.161621
0.207031	0.952857	-35.161476
0.208594	0.952857	-35.161098
0.208594	0.954286	-35.160992
0.209375	0.954286	-35.160984
0.209375	0.955714	-35.160854
0.210938	0.955714	-35.160774
0.210938	0.957143	-35.160515
0.214062	0.957143	-35.160393
0.214062	0.957857	-35.160305
0.214844	0.957857	-35.160206
0.214844	0.958571	-35.159996
0.221094	0.958571	-35.159828
0.221094	0.959286	-35.159649
0.221875	0.959286	-35.159439
0.221875	0.960000	-35.159142
0.222656	0.960000	-35.158733
0.222656	0.960714	-35.158646
0.225781	0.960714	-35.158604
0.225781	0.961429	-35.158382
0.226562	0.961429	-35.158180
0.226562	0.962143	-35.158028
0.228125	0.962143	-35.157902
0.228125	0.963571	-35.157822
0.229687	0.963571	-35.157742
0.229687	0.964286	-35.157639
0.231250	0.964286	-35.157322
0.231250	0.965000	-35.157047
0.233594	0.965000	-35.156693
0.233594	0.967143	-35.156502
0.234375	0.967143	-35.156418
0.234375	0.967857	-35.156364
0.239063	0.967857	-35.156197
0.239063	0.968571	-35.156139
0.246094	0.968571	-35.155186
0.246094	0.969286	-35.154781
0.250781	0.969286	-35.154625
0.250781	0.970714	-35.154472
0.253125	0.970714	-35.153877
0.253125	0.971429	-35.153549
0.263281	0.971429	-35.152916
0.263281	0.972143	-35.152870
0.264062	0.972143	-35.152809
0.264062	0.972857	-35.152798
0.270313	0.972857	-35.152348
0.270313	0.973571	-35.152332
0.271094	0.973571	-35.152279
0.271094	0.975000	-35.152180
0.271875	0.975000	-35.152042
0.271875	0.975714	-35.151829
0.277344	0.975714	-35.151192
0.277344	0.976429	-35.151093
0.278906	0.976429	-35.150723
0.278906	0.977143	-35.150589
0.282031	0.977143	-35.150517
0.282031	0.977857	-35.150089
0.286719	0.977857	-35.150028
0.286719	0.978571	-35.149986
0.297656	0.978571	-35.149933
0.297656	0.979286	-35.149872
0.302344	0.979286	-35.149563
0.302344	0.980000	-35.149384
0.311719	0.980000	-35.149330
0.311719	0.980714	-35.149040
0.313281	0.980714	-35.148533
0.313281	0.981429	-35.148521
0.314063	0.981429	-35.148281
0.314063	0.982143	-35.148270
0.324219	0.982143	-35.148201
0.324219	0.983571	-35.148113
0.327344	0.983571	-35.147739
0.327344	0.984286	-35.147659
0.343750	0.984286	-35.147621
0.343750	0.985000	-35.147442
0.344531	0.985000	-35.147087
0.344531	0.985714	-35.147053
0.348438	0.985714	-35.146992
0.348438	0.986429	-35.146843
0.363281	0.986429	-35.146641
0.363281	0.987143	-35.146511
0.390625	0.987143	-35.146397
0.390625	0.987857	-35.146355
0.404687	0.987857	-35.146263
0.404687	0.988571	-35.145893
0.406250	0.988571	-35.145603
0.406250	0.989286	-35.145210
0.412500	0.989286	-35.145184
0.412500	0.990000	-35.144882
0.456250	0.990000	-35.144432
0.456250	0.990714	-35.144321
0.469531	0.990714	-35.144173
0.469531	0.992143	-35.144108
0.478906	0.992143	-35.144073
0.478906	0.993571	-35.144043
0.499219	0.993571	-35.143997
0.499219	0.994286	-35.143723
0.508594	0.994286	-35.143166
0.508594	0.995714	-35.142941
0.532813	0.995714	-35.142616
0.532813	0.996429	-35.142345
0.587500	0.996429	-35.142189
0.589063	0.996429	-35.142124
0.594531	0.996429	-35.142067
0.594531	0.997143	-35.142036
0.623437	0.997143	-35.141842
0.623437	0.997857	-35.141560
0.632031	0.997857	-35.141502
0.633594	0.997857	-35.141159
0.697656	0.997857	-35.141006
0.697656	0.998571	-35.140823
0.721094	0.998571	-35.140179
0.722656	0.998571	-35.140060
0.753906	0.998571	-35.140053
0.753906	0.999286	-35.139568
0.787500	0.999286	-35.139526
0.789062	0.999286	-35.139328
0.804688	0.999286	-35.139263
0.804688	1.000000	-35.139244
1.000000	1.000000	-35.139168
