FPR	TPR	THR
0.000000	0.000000	-28.914116
0.000000	0.000714	-28.913986
0.000000	0.020714	-28.913063
0.000781	0.020714	-28.913019
0.000781	0.041429	-28.912954
0.001561	0.041429	-28.912924
0.001561	0.067143	-28.912897
0.002342	0.067143	-28.912857
0.002342	0.075000	-28.912739
0.003123	0.075000	-28.912683
0.003123	0.125000	-28.912630
0.003903	0.125000	-28.912504
0.003903	0.128571	-28.912495
0.004684	0.128571	-28.912455
0.004684	0.136429	-28.912363
0.005464	0.136429	-28.912157
0.005464	0.138571	-28.912146
0.006245	0.138571	-28.911909
0.006245	0.145000	-28.911886
0.007026	0.145000	-28.911837
0.007026	0.190714	-28.911835
0.007806	0.190714	-28.911741
0.007806	0.195000	-28.911716
0.008587	0.195000	-28.911667
0.008587	0.198571	-28.911629
0.009368	0.198571	-28.911619
0.009368	0.203571	-28.911592
0.010148	0.203571	-28.911541
0.010148	0.245000	-28.911377
0.010929	0.245000	-28.911327
0.010929	0.255000	-28.910933
0.011710	0.255000	-28.910925
0.011710	0.257143	-28.910900
0.012490	0.257143	-28.910879
0.012490	0.265000	-28.910872
0.013271	0.265000	-28.910723
0.013271	0.293571	-28.910618
0.014052	0.293571	-28.910503
0.014052	0.299286	-28.910469
0.014832	0.299286	-28.910465
0.014832	0.300000	-28.910458
0.015613	0.300000	-28.910397
0.015613	0.316429	-28.910393
0.016393	0.316429	-28.910360
0.016393	0.318571	-28.910353
0.017174	0.318571	-28.910311
0.017174	0.348571	-28.910286
0.017955	0.348571	-28.910103
0.017955	0.350714	-28.910078
0.018735	0.350714	-28.910072
0.018735	0.359286	-28.910063
0.019516	0.359286	-28.909891
0.019516	0.385000	-28.909889
0.020297	0.385000	-28.909851
0.020297	0.395000	-28.909809
0.021077	0.395000	-28.909727
0.021077	0.401429	-28.909725
0.021858	0.401429	-28.909668
0.021858	0.407857	-28.909657
0.022639	0.407857	-28.909538
0.022639	0.408571	-28.909534
0.023419	0.408571	-28.909517
0.023419	0.413571	-28.909492
0.024200	0.413571	-28.909428
0.024200	0.420000	-28.909386
0.024980	0.420000	-28.909353
0.024980	0.426429	-28.909306
0.025761	0.426429	-28.909302
0.025761	0.435714	-28.909298
0.026542	0.435714	-28.909271
0.026542	0.442143	-28.909231
0.027322	0.442143	-28.909155
0.027322	0.444286	-28.909096
0.028103	0.444286	-28.909077
0.028103	0.458571	-28.908964
0.028884	0.458571	-28.908859
0.028884	0.462143	-28.908833
0.029664	0.462143	-28.908827
0.029664	0.472857	-28.908787
0.030445	0.472857	-28.908752
0.030445	0.474286	-28.908733
0.032787	0.474286	-28.908707
0.032787	0.481429	-28.908680
0.033568	0.481429	-28.908676
0.033568	0.482143	-28.908648
0.034348	0.482143	-28.908646
0.034348	0.485000	-28.908495
0.035129	0.485000	-28.908453
0.035129	0.509286	-28.908310
0.035909	0.509286	-28.908197
0.035909	0.510000	-28.908033
0.036690	0.510000	-28.908018
0.036690	0.512857	-28.907875
0.037471	0.512857	-28.907850
0.037471	0.516429	-28.907825
0.038251	0.516429	-28.907803
0.038251	0.520000	-28.907799
0.039032	0.520000	-28.907789
0.039032	0.524286	-28.907766
0.039813	0.524286	-28.907717
0.039813	0.525000	-28.907703
0.041374	0.525000	-28.907606
0.041374	0.527857	-28.907486
0.042155	0.527857	-28.907436
0.042155	0.540714	-28.907394
0.042935	0.540714	-28.907381
0.042935	0.543571	-28.907364
0.043716	0.543571	-28.907246
0.043716	0.546429	-28.907204
0.044496	0.546429	-28.907084
0.044496	0.547143	-28.907070
0.045277	0.547143	-28.907064
0.045277	0.548571	-28.906990
0.046058	0.548571	-28.906956
0.046058	0.564286	-28.906843
0.046838	0.564286	-28.906796
0.046838	0.582143	-28.906744
0.048400	0.582143	-28.906727
