FPR	TPR	THR
0.000000	0.000000	inf
0.002252	0.000000	7.320312
0.002252	0.017316	7.179688
0.004505	0.019481	7.175781
0.004505	0.023810	7.171875
0.004505	0.025974	7.160156
0.004505	0.030303	7.152344
0.004505	0.043290	7.117188
0.004505	0.047619	7.097656
0.004505	0.049784	7.089844
0.004505	0.056277	7.085938
0.004505	0.064935	7.066406
0.009009	0.064935	7.046875
0.009009	0.069264	7.027344
0.011261	0.073593	7.023438
0.013514	0.075758	7.019531
0.013514	0.080087	7.003906
0.013514	0.084416	7.000000
0.013514	0.090909	6.996094
0.013514	0.099567	6.988281
0.013514	0.110390	6.957031
0.013514	0.119048	6.953125
0.013514	0.123377	6.941406
0.013514	0.136364	6.933594
0.013514	0.140693	6.921875
0.013514	0.145022	6.917969
0.013514	0.147186	6.914062
0.013514	0.155844	6.906250
0.015766	0.158009	6.902344
0.015766	0.162338	6.898438
0.018018	0.164502	6.890625
0.018018	0.168831	6.886719
0.018018	0.175325	6.882812
0.018018	0.179654	6.878906
0.018018	0.181818	6.871094
0.018018	0.192641	6.867188
0.018018	0.196970	6.863281
0.018018	0.199134	6.859375
0.018018	0.203463	6.855469
0.020270	0.207792	6.851562
0.020270	0.212121	6.839844
0.022523	0.212121	6.835938
0.022523	0.218615	6.832031
0.024775	0.225108	6.828125
0.024775	0.231602	6.824219
0.024775	0.235931	6.820312
0.027027	0.240260	6.816406
0.027027	0.242424	6.812500
0.027027	0.246753	6.808594
0.027027	0.248918	6.804688
0.027027	0.253247	6.800781
0.029279	0.257576	6.792969
0.029279	0.261905	6.785156
0.031532	0.266234	6.781250
0.033784	0.268398	6.777344
0.033784	0.281385	6.765625
0.033784	0.285714	6.753906
0.036036	0.287879	6.750000
0.038288	0.287879	6.746094
0.038288	0.290043	6.742188
0.040541	0.294372	6.734375
0.040541	0.298701	6.730469
0.042793	0.303030	6.726562
0.042793	0.307359	6.722656
0.045045	0.311688	6.718750
0.045045	0.313853	6.710938
0.045045	0.326840	6.699219
0.047297	0.329004	6.695312
0.051802	0.329004	6.691406
0.051802	0.337662	6.683594
0.051802	0.339827	6.679688
0.051802	0.352814	6.671875
0.051802	0.357143	6.664062
0.054054	0.361472	6.660156
0.054054	0.367965	6.656250
0.054054	0.372294	6.648438
0.054054	0.376623	6.644531
0.056306	0.376623	6.640625
0.056306	0.385281	6.636719
0.056306	0.387446	6.632812
0.056306	0.393939	6.628906
0.056306	0.402597	6.621094
0.056306	0.404762	6.617188
0.056306	0.409091	6.609375
0.058559	0.413420	6.605469
0.058559	0.417749	6.593750
