Variation ID	Location	Distance from rs117761967	Consequence Type	r2	D'	Phenotypes	GWAS_Trait_Category	Source
rs117761967	9:27576974-27576974	0	intergenic_variant	undefined	undefined	Neutral antibody levels in response to SARS-CoV-2 vaccination;	Other trait	Ensembl
rs117867610	9:27551621-27551621	-25353	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs12683764	9:27495368-27495368	-81606	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs74823641	9:27539727-27539727	-37247	regulatory_region_variant	1.000000	1.000000		No trait reported	Ensembl
rs78923167	9:27481948-27481948	-95026	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs77874625	9:27505037-27505037	-71937	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs4879516	9:27482620-27482620	-94354	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs17835770	9:27484577-27484577	-92397	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs76412392	9:27556040-27556040	-20934	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs2305045	9:27548514-27548514	-28460	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs199708054	9:27482651-27482651	-94323	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs76676728	9:27498164-27498164	-78810	intron_variant	1.000000	1.000000		No trait reported	Ensembl
rs142849917	9:27500854-27500854	-76120	intron_variant	1.000000	1.000000		No trait reported	Ensembl
